1.1.1.1,"Alcoholdehydrogenase"
1.1.1.10,"L-xylulosereductase"
1.1.1.100,"3-oxoacyl-[acyl-carrier-protein]reductase"
1.1.1.101,"Acylglycerone-phosphatereductase"
1.1.1.102,"3-dehydrosphinganinereductase"
1.1.1.103,"L-threonine3-dehydrogenase"
1.1.1.105,"Retinoldehydrogenase"
1.1.1.107,"Pyridoxal4-dehydrogenase"
1.1.1.11,"D-arabinitol4-dehydrogenase"
1.1.1.116,"D-arabinose1-dehydrogenase"
1.1.1.117,"D-arabinose1-dehydrogenase(NAD(P)(+))"
1.1.1.124,"Fructose5-dehydrogenase(NADP(+))"
1.1.1.125,"2-deoxy-D-gluconate3-dehydrogenase"
1.1.1.130,"3-dehydro-L-gulonate2-dehydrogenase"
1.1.1.132,"GDP-mannose6-dehydrogenase"
1.1.1.133,"dTDP-4-dehydrorhamnosereductase"
1.1.1.137,"Ribitol-5-phosphate2-dehydrogenase"
1.1.1.138,"Mannitol2-dehydrogenase(NADP(+))"
1.1.1.14,"L-iditol2-dehydrogenase"
1.1.1.140,"Sorbitol-6-phosphate2-dehydrogenase"
1.1.1.141,"15-hydroxyprostaglandindehydrogenase(NAD(+))"
1.1.1.145,"3-beta-hydroxy-Delta(5)-steroiddehydrogenase"
1.1.1.146,"11-beta-hydroxysteroiddehydrogenase"
1.1.1.149,"20-alpha-hydroxysteroiddehydrogenase"
1.1.1.153,"Sepiapterinreductase"
1.1.1.154,"Ureidoglycolatedehydrogenase"
1.1.1.157,"3-hydroxybutyryl-CoAdehydrogenase"
1.1.1.158,"UDP-N-acetylmuramatedehydrogenase"
1.1.1.159,"7-alpha-hydroxysteroiddehydrogenase"
1.1.1.162,"Erythrulosereductase"
1.1.1.163,"Cyclopentanoldehydrogenase"
1.1.1.169,"2-dehydropantoate2-reductase"
1.1.1.17,"Mannitol-1-phosphate5-dehydrogenase"
1.1.1.170,"Sterol-4-alpha-carboxylate3-dehydrogenase(decarboxylating)"
1.1.1.175,"D-xylose1-dehydrogenase"
1.1.1.176,"12-alpha-hydroxysteroiddehydrogenase"
1.1.1.178,"3-hydroxy-2-methylbutyryl-CoAdehydrogenase"
1.1.1.179,"D-xylose1-dehydrogenase(NADP(+))"
1.1.1.18,"Inositol2-dehydrogenase"
1.1.1.181,"Cholest-5-ene-3-beta,7-alpha-diol3-beta-dehydrogenase"
1.1.1.183,"Geranioldehydrogenase"
1.1.1.184,"Carbonylreductase(NADPH)"
1.1.1.188,"Prostaglandin-Fsynthase"
1.1.1.189,"Prostaglandin-E(2)9-reductase"
1.1.1.190,"Indole-3-acetaldehydereductase(NADH)"
1.1.1.191,"Indole-3-acetaldehydereductase(NADPH)"
1.1.1.193,"5-amino-6-(5-phosphoribosylamino)uracilreductase"
1.1.1.195,"Cinnamyl-alcoholdehydrogenase"
1.1.1.197,"15-hydroxyprostaglandindehydrogenase(NADP(+))"
1.1.1.2,"Alcoholdehydrogenase(NADP(+))"
1.1.1.200,"Aldose-6-phosphatereductase(NADPH)"
1.1.1.202,"1,3-propanedioldehydrogenase"
1.1.1.205,"IMPdehydrogenase"
1.1.1.206,"TropinonereductaseI"
1.1.1.208,"(+)-neomentholdehydrogenase"
1.1.1.21,"Aldehydereductase"
1.1.1.211,"Long-chain-3-hydroxyacyl-CoAdehydrogenase"
1.1.1.213,"3-alpha-hydroxysteroiddehydrogenase(A-specific)"
1.1.1.215,"Gluconate2-dehydrogenase"
1.1.1.218,"Morphine6-dehydrogenase"
1.1.1.219,"Dihydrokaempferol4-reductase"
