IPR000001,Kringle,Domain
IPR000003,Retinoid X receptor,Family
IPR000005,"Helix-turn-helix, AraC type",Domain
IPR000006,"Metallothionein, vertebrate",Family
IPR000007,"Tubby, C-terminal",Domain
IPR000008,C2 calcium-dependent membrane targeting,Domain
IPR000009,"Protein phosphatase 2A, regulatory subunit PR55",Family
IPR000010,"Proteinase inhibitor I25, cystatin",Domain
IPR000011,"Ubiquitin-activating enzyme, E1-like",Region
IPR000012,Retroviral VpR/VpX protein,Family
IPR000013,"Peptidase M7, snapalysin",Family
IPR000014,PAS,Domain
IPR000015,Fimbrial biogenesis outer membrane usher protein,Family
IPR000018,P2Y4 purinoceptor,Family
IPR000020,Anaphylatoxin/fibulin,Domain
IPR000021,Hok/gef cell toxic protein,Family
IPR000022,Carboxyl transferase,Domain
IPR000023,Phosphofructokinase,Domain
IPR000024,Frizzled cysteine-rich domain,Domain
IPR000025,Melatonin receptor,Family
IPR000026,Guanine-specific ribonuclease N1 and T1,Family
IPR000028,Chloroperoxidase,Family
IPR000030,Mycobacterial PPE protein,Family
IPR000031,1-(5-Phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase,Domain
IPR000032,"Phosphotransferase system, phosphocarrier HPr protein-like",Domain
IPR000033,"Low-density lipoprotein receptor, YWTD repeat",Repeat
IPR000034,Laminin B type IV,Domain
IPR000035,"Alkylbase DNA glycosidase, conserved site",Conserved_site
IPR000036,"Peptidase A26, omptin",Family
IPR000037,SsrA-binding protein,Family
IPR000038,Cell division/GTP binding protein,Family
IPR000039,Ribosomal protein L18e,Family
IPR000040,Acute myeloid leukemia 1 protein (AML 1)/Runt,Family
IPR000042,N-glycosylation site,PTM
IPR000043,S-adenosyl-L-homocysteine hydrolase,Family
IPR000044,Mycoplasma lipoprotein (MG045),Family
IPR000045,"Peptidase A24A, prepilin type IV",Domain
IPR000046,Neurokinin NK1 receptor,Family
IPR000047,"Helix-turn-helix motif, lambda-like repressor",Domain
IPR000048,IQ calmodulin-binding region,Domain
IPR000049,"Electron transfer flavoprotein, beta-subunit, core",Domain
IPR000052,Potex/carlavirus coat protein,Domain
IPR000053,Pyrimidine-nucleoside phosphorylase,Family
IPR000054,Ribosomal protein L31e,Family
IPR000055,"Restriction endonuclease, type I, S subunit, EcoBI",Domain
IPR000056,Ribulose-phosphate 3-epimerase,Family
IPR000057,Interleukin 8B receptor,Family
IPR000058,"Zinc finger, AN1-type",Domain
IPR000059,"NUDIX hydrolase, conserved site",Conserved_site
IPR000060,BCCT transporter,Family
IPR000061,SWAP/Surp,Domain
IPR000062,Thymidylate kinase-like,Family
IPR000064,NLP/P60,Domain
IPR000065,Obesity factor,Family
IPR000066,"Antenna complex, alpha/beta subunit",Family
IPR000067,Flagellar FliF M-ring protein,Family
IPR000068,"GPCR, family 3, extracellular calcium-sensing receptor-related",Family
IPR000069,"Envelope glycoprotein M, flavivirus",Domain
IPR000070,"Pectinesterase, catalytic",Domain
IPR000071,"Immunodeficiency lentiviral matrix, N-terminal",Domain
IPR000072,Platelet-derived growth factor (PDGF),Domain
IPR000073,Alpha/beta hydrolase fold-1,Domain
IPR000074,Apolipoprotein A1/A4/E,Family
IPR000076,K-Cl co-transporter,Region
IPR000077,Ribosomal protein L39e,Family
IPR000079,High mobility group protein HMG14 and HMG17,Family
IPR000081,"Peptidase C3, picornavirus core protein 2A",Domain
IPR000082,SEA,Domain
IPR000083,"Fibronectin, type I",Domain
IPR000084,PE N-terminal,Domain
IPR000085,Bacterial DNA recombination protein RuvA,Family
IPR000086,NUDIX hydrolase domain,Domain
IPR000089,Biotin/lipoyl attachment,Domain
IPR000090,Flagellar motor switch protein FliG,Family
IPR000091,Huntingtin,Family
IPR000092,Polyprenyl synthetase,Family
IPR000093,RecR protein,Family
IPR000095,PAK-box/P21-Rho-binding,Domain
IPR000096,Serum amyloid A protein,Family
IPR000097,"AP endonuclease, family 1",Family
IPR000098,Interleukin-10,Family
IPR000100,Riibonuclease P,Family
IPR000101,Gamma-glutamyltranspeptidase,Family
IPR000102,Neuraxin/MAP1B repeat,Repeat
IPR000103,"Pyridine nucleotide-disulphide oxidoreductase, class-II",Domain
IPR000104,"Antifreeze protein, type I",Family
IPR000105,Mu opioid receptor,Family
IPR000106,Protein-tyrosine phosphatase/arsenate reductase,Family
IPR000108,Neutrophil cytosol factor 2,Domain
IPR000109,"TGF-beta receptor, type I/II extracellular region",Family
IPR000110,Ribosomal protein S1,Family
IPR000111,"Glycoside hydrolase, clan GH-D",Family
IPR000112,"GPCR, family 3, metabotropic glutamate receptor 6",Family
IPR000113,Mealworm beetle B protein,Family
IPR000114,Ribosomal protein L16,Family
IPR000115,Phosphoribosylglycinamide synthetase,Domain
IPR000116,"High mobility group, HMG-I and HMG-Y",Family
IPR000117,Kappa casein,Family
IPR000118,Granulin,Domain
IPR000119,Histone-like bacterial DNA-binding protein,Family
IPR000120,Amidase signature enzyme,Family
IPR000121,PEP-utilizing enzyme,Domain
IPR000123,"RNA-directed DNA polymerase (reverse transcriptase), msDNA",Domain
IPR000124,Spermadhesin,Family
IPR000125,"Glycoside hydrolase, family 14A, bacterial",Family
IPR000126,"Peptidase S1B, active site",Active_site
IPR000127,Ubiquitin-activating enzyme repeat,Repeat
IPR000128,"Progesterone receptor, N-terminal",Domain
IPR000131,"ATPase, F1 complex, gamma subunit",Family
IPR000132,"Nitrilase/cyanide hydratase, conserved site",Conserved_site
IPR000133,ER lumen protein retaining receptor,Family
IPR000134,Amidation site,PTM
IPR000135,"High mobility group, HMG1/HMG2, subgroup",Domain
IPR000136,Oleosin,Family
IPR000138,"Hydroxymethylglutaryl-CoA lyase, active site",Active_site
IPR000141,Prostaglandin F receptor,Family
IPR000142,P2Y purinoceptor,Family
IPR000143,Geminivirus MSV 27Kd coat protein,Family
IPR000144,"GPCR, family 3, metabotropic glutamate receptor 8",Family
IPR000145,"Outer capsid protein VP5, Orbivirus",Family
IPR000146,"Fructose-1,6-bisphosphatase",Family
IPR000147,AT2 angiotensin II receptor,Family
IPR000148,Papillomavirus E7,Family
IPR000149,"Haemagglutinin, influenza A/B virus type, HA1 chain",Domain
IPR000150,Cof protein,Family
IPR000151,"Ciliary neurotrophic factor, CNTF",Family
IPR000152,EGF-type aspartate/asparagine hydroxylation conserved site,PTM
IPR000153,"Outer capsid sigma 3, reoviral",Family
IPR000154,"Prostanoid EP3 receptor, type 3",Family
IPR000155,Melanocortin 4 receptor,Family
IPR000156,Ran Binding Protein 1,Domain
IPR000157,Toll-Interleukin receptor,Domain
IPR000158,"Cell division protein FtsZ, N-terminal",Domain
IPR000159,Ras-association,Domain
IPR000160,"Diguanylate cyclase, predicted",Domain
IPR000161,Vasopressin V2 receptor,Family
IPR000162,"GPCR, family 3, metabotropic glutamate receptor",Family
IPR000163,Prohibitin,Family
IPR000164,Histone H3,Family
IPR000165,"Glycoside hydrolase, family 15",Family
IPR000167,Dehydrin,Family
IPR000169,"Peptidase, cysteine peptidase active site",Active_site
IPR000170,High potential iron-sulphur protein,Family
IPR000172,"Glucose-methanol-choline oxidoreductase, N-terminal",Domain
IPR000173,Glyceraldehyde 3-phosphate dehydrogenase,Family
IPR000174,Interleukin-8 receptor,Family
IPR000175,Sodium:neurotransmitter symporter,Family
IPR000176,Poly A polymerase regulatory subunit,Family
IPR000177,Apple,Domain
IPR000178,Initiation factor 2,Family
IPR000180,"Peptidase M19, renal dipeptidase, active site",Active_site
IPR000181,Formylmethionine deformylase,Family
IPR000182,GCN5-related N-acetyltransferase,Domain
IPR000183,Orn/DAP/Arg decarboxylase 2,Domain
IPR000184,Bacterial surface antigen (D15),Domain
IPR000185,SecA protein,Family
IPR000186,Interleukin-5,Family
IPR000187,"Corticotropin-releasing factor, CRF",Domain
IPR000189,"Prokaryotic transglycosylase, active site",Active_site
IPR000190,AT1 angiotensin II receptor,Family
IPR000191,DNA glycosylase/AP lyase,Family
IPR000192,"Aminotransferase, class V/Cysteine desulfurase",Family
IPR000193,Urocanase,Family
IPR000194,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",Domain
IPR000195,RabGAP/TBC,Domain
IPR000196,Ribosomal protein L19/L19e,Family
IPR000197,"Zinc finger, TAZ-type",Domain
IPR000198,RhoGAP,Domain
IPR000199,"Peptidase C3A and C3B, picornaviral",Domain
IPR000200,"Peptidase C10, streptopain",Family
IPR000201,"Hepadnaviral P protein, N-terminal",Domain
IPR000202,"GPCR, family 3, metabotropic glutamate receptor 5",Family
IPR000203,GPS,Domain
IPR000204,Orexin receptor,Family
IPR000206,Ribosomal protein L7/L12,Family
IPR000207,"Adrenergic receptor, alpha-2B",Family
IPR000208,"RNA-directed RNA polymerase, flavivirus",Domain
IPR000209,"Peptidase S8 and S53, subtilisin, kexin, sedolisin",Domain
IPR000210,BTB/POZ-like,Domain
IPR000211,Geminivirus BL1 movement protein,Family
IPR000212,"DNA helicase, UvrD/REP type",Family
IPR000213,Vitamin D-binding protein,Family
IPR000214,"DNA glycosylase/AP lyase, zinc finger domain",Domain
IPR000215,"Protease inhibitor I4, serpin",Family
IPR000217,Tubulin,Family
IPR000218,Ribosomal protein L14b/L23e,Family
IPR000219,Dbl homology (DH) domain,Domain
IPR000220,Tyrosine kinase phosphorylation site,PTM
IPR000221,Protamine P1,Family
IPR000222,"Protein phosphatase 2C,  manganese/magnesium aspartate binding site",Binding_site
IPR000223,"Peptidase S26A, signal peptidase I",Family
IPR000224,"Phosphoprotein, vesiculovirus",Family
IPR000225,Armadillo,Repeat
IPR000226,Interleukin-7/interleukin-9,Family
IPR000227,Angiotensinogen,Family
IPR000228,RNA 3'-terminal phosphate cyclase- like,Family
IPR000229,Arenavirus nucleocapsid protein,Family
IPR000231,Ribosomal protein L30e,Family
IPR000232,"Heat shock factor (HSF)-type, DNA-binding",Domain
IPR000233,Cadherin cytoplasmic region,Domain
IPR000234,Herpesvirus Glycoprotein B,Family
IPR000235,Ribosomal protein S7,Family
IPR000236,Transactivation protein X,Family
IPR000237,GRIP,Domain
IPR000238,Ribosome-binding factor A,Family
IPR000239,GPCR kinase,Domain
IPR000240,Serpin B9 and maspin,Family
IPR000241,Putative RNA methylase,Domain
IPR000242,"Protein-tyrosine phosphatase, receptor/non-receptor type",Domain
IPR000243,"Peptidase T1A, proteasome beta-subunit",Family
IPR000244,Ribosomal protein L9,Family
IPR000245,"ATPase, V0 complex, proteolipid subunit C",Family
IPR000246,"Peptidase T2, asparaginase 2",Family
IPR000247,Cucumovirus coat protein,Family
IPR000248,Angiotensin II receptor,Family
IPR000249,Bacterial microcompartments protein,Domain
IPR000250,"Peptidase G1, eqolisin",Family
IPR000253,Forkhead-associated,Domain
IPR000254,"Cellulose-binding region, fungal",Domain
IPR000256,Influenza non-structural protein (NS1),Family
IPR000257,Uroporphyrinogen decarboxylase (URO-D),Domain
IPR000258,"Bacterial ice-nucleation, octamer repeat",Repeat
IPR000259,Fimbrial protein,Domain
IPR000260,"NADH:ubiquinone oxidoreductase, chain 4, N-terminal",Domain
IPR000261,EPS15 homology (EH),Domain
IPR000262,FMN-dependent dehydrogenase,Domain
IPR000263,Geminivirus AR1/BR1 coat protein,Family
IPR000264,Serum albumin,Family
IPR000265,Prostanoid EP3 receptor,Family
